country,iso_code,year,month,continent,income_group,latitude,longitude,latitude_band,climate_zone,temp_anomaly_global,temp_anomaly_land,temp_anomaly_ocean,temp_anomaly_arctic,temp_max,temp_min,co2_emissions,co2_per_capita,co2_per_gdp,cumulative_co2,co2_concentration_ppm,methane_emissions,nitrous_oxide,total_ghg,land_use_change_co2,sea_ice_extent_arctic,sea_ice_extent_antarc,sea_surface_temp_anom,nino34_index,ocean_heat_content,precipitation_anomaly,drought_index_pdsi,spi_3month,primary_energy_twh,share_renewables_pct,share_coal_pct,co2_per_kwh,electricity_demand_twh,renewable_capacity_gw,oil_production,population_millions,gdp_per_capita_usd,population_density,urbanization_rate,forest_cover_pct,industrial_share_gdp,agriculture_share_gdp,vehicle_ownership,radiative_forcing,temp_change_from_co2,climate_risk_score,warming_category,renewable_transition_stage,emission_intensity_level
Argentina,ARG,1990,1,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.88,0.28,0.82,-7.0,-19.6,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,13.93,10.49,0.15,-0.01,-5.19,1.4,0.51,-0.13,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,264.0,2.0,0.29,12.2,Normal,Low,Medium
Argentina,ARG,1990,2,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.43,0.81,0.28,0.91,-5.2,-17.3,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,,10.21,0.17,0.54,-5.19,-1.5,0.17,0.26,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,260.0,2.0,0.29,18.5,Normal,Low,Medium
Argentina,ARG,1990,3,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.36,0.84,0.28,0.66,3.4,-10.8,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,16.07,10.82,0.26,0.51,-5.19,-48.2,-1.58,-0.57,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,276.0,2.0,0.29,19.6,Normal,Low,Medium
Argentina,ARG,1990,4,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.49,0.87,0.31,1.18,14.6,0.9,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,15.5,10.18,0.27,0.26,,19.7,1.56,0.38,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,278.0,2.0,0.29,15.1,Normal,Low,Medium
Argentina,ARG,1990,5,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.39,0.67,0.21,0.48,20.5,11.7,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,13.93,,,-0.07,-5.19,28.8,0.84,0.18,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,265.0,2.0,0.29,13.0,Normal,Low,Medium
Argentina,ARG,1990,6,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.47,0.86,0.38,0.92,28.7,17.0,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,11.79,11.44,0.33,0.6,-5.19,40.3,1.89,0.75,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,268.0,2.0,0.29,15.5,Normal,Low,Medium
Argentina,ARG,1990,7,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.79,0.26,0.88,32.2,19.1,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,9.65,12.22,,0.24,-5.19,-41.2,-1.09,-0.54,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,261.0,2.0,0.29,18.3,Normal,Low,Medium
Argentina,ARG,1990,8,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.44,0.85,0.3,1.02,28.9,14.9,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,8.08,12.16,0.24,-0.01,-5.19,-7.3,0.09,-0.26,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,266.0,2.0,0.29,13.4,Normal,Low,Medium
Argentina,ARG,1990,9,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.39,0.81,0.25,1.11,25.0,11.0,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,7.51,13.16,0.18,-0.32,-5.19,-28.9,-1.36,-0.58,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,272.0,2.0,0.29,18.7,Normal,Low,Medium
Argentina,ARG,1990,10,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.51,0.81,0.4,1.07,11.4,-0.1,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,8.08,12.87,0.3,0.63,,11.6,0.4,0.16,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,255.0,2.0,0.29,15.3,Elevated,Low,Medium
Argentina,ARG,1990,11,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.45,0.82,0.25,1.05,3.2,-11.3,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,9.65,11.72,,0.0,-5.19,-49.8,-1.45,-0.49,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,270.0,2.0,0.29,21.4,Normal,Low,Medium
Argentina,ARG,1990,12,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.42,0.76,0.25,1.07,-3.0,-16.1,150.6,4.21,0.1506,151.0,354,27.1,10.6,199.7,-0.2,,12.2,0.2,0.75,-5.19,-30.3,0.35,0.08,184.8,9.4,2.3,325.9,64.7,12.2,0.51,37.0,8749.0,13309.4,89.0,11,23,8,278.0,2.0,0.29,19.4,Normal,Low,Medium
Argentina,ARG,1991,1,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.47,0.89,0.33,1.03,-6.3,-18.7,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,13.66,11.63,0.27,0.92,-3.44,94.0,2.12,1.25,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,276.0,2.059,0.27,17.7,Normal,Low,Medium
Argentina,ARG,1991,2,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.36,0.75,0.19,0.72,-4.0,-16.0,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,15.21,9.45,0.2,0.17,-3.44,-3.1,0.15,0.05,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,267.0,2.059,0.27,11.3,Normal,Low,Medium
Argentina,ARG,1991,3,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.38,0.72,0.22,0.83,4.4,-8.5,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,15.77,10.45,0.25,-0.18,-3.44,-67.0,-1.32,-0.86,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,291.0,2.059,0.27,19.9,Normal,Low,Medium
Argentina,ARG,1991,4,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.42,0.77,0.26,0.82,12.1,0.1,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,15.21,10.52,0.24,-0.0,-3.44,64.1,0.58,1.07,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,276.0,2.059,0.27,15.3,Normal,Low,Medium
Argentina,ARG,1991,5,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.84,0.26,0.89,21.5,10.8,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,13.66,11.38,0.23,0.35,-3.44,70.1,1.24,1.09,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,275.0,2.059,0.27,15.0,Normal,Low,Medium
Argentina,ARG,1991,6,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.52,1.0,0.38,1.1,28.8,18.3,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,11.55,,0.36,0.92,-3.44,18.8,-0.04,-0.02,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,280.0,2.059,0.27,16.1,Elevated,Low,Medium
Argentina,ARG,1991,7,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.44,0.87,0.38,0.84,31.2,18.9,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,9.44,12.43,0.27,0.89,-3.44,0.5,-0.54,0.45,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,277.0,2.059,0.27,15.5,Normal,Low,Medium
Argentina,ARG,1991,8,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.46,0.82,0.31,0.98,31.0,14.7,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,7.9,12.57,0.23,0.69,-3.44,-28.2,-0.39,-0.56,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,279.0,2.059,0.27,16.5,Normal,Low,Medium
Argentina,ARG,1991,9,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.49,0.89,0.3,0.97,23.4,10.8,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,7.33,12.19,0.24,0.65,-3.44,3.3,0.25,0.18,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,273.0,2.059,0.27,15.2,Normal,Low,Medium
Argentina,ARG,1991,10,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.41,0.77,0.29,1.29,10.5,-3.4,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,7.9,13.32,0.25,0.66,-3.44,20.7,0.35,0.07,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,293.0,2.059,0.27,13.3,Normal,Low,Medium
Argentina,ARG,1991,11,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.39,0.8,0.29,0.87,2.8,-10.0,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,9.44,12.01,0.24,0.19,-3.44,73.4,1.35,0.95,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,271.0,2.059,0.27,14.9,Normal,Low,Medium
Argentina,ARG,1991,12,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.46,0.79,0.29,1.21,-4.3,-12.3,161.8,4.41,0.1618,312.0,356,28.7,9.0,218.3,2.5,11.55,12.56,0.26,0.36,-3.44,7.0,0.23,-0.15,214.9,8.0,2.5,301.1,75.2,12.0,0.56,37.37,9421.0,13442.4,89.9,11,23,8,284.0,2.059,0.27,14.0,Normal,Low,Medium
Argentina,ARG,1992,1,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.23,0.64,0.08,0.5,-6.3,-20.0,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,13.78,12.0,0.01,0.3,-2.28,-36.2,-0.31,-0.55,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,278.0,2.118,0.17,10.5,Normal,Low,Medium
Argentina,ARG,1992,2,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.3,0.65,0.17,0.81,-2.2,-13.6,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,15.37,,0.06,0.93,-2.28,38.6,0.92,0.93,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,284.0,2.118,0.17,11.0,Normal,Low,Medium
Argentina,ARG,1992,3,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.36,0.73,0.21,0.73,3.2,-12.4,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,15.95,10.79,0.19,0.28,-2.28,8.9,-1.0,-0.03,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,280.0,2.118,0.17,15.5,Normal,Low,Medium
Argentina,ARG,1992,4,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.32,0.69,0.23,0.21,13.4,1.2,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,15.37,10.57,,0.75,-2.28,36.5,1.36,-0.01,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,276.0,2.118,0.17,11.4,Normal,Low,Medium
Argentina,ARG,1992,5,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.23,0.6,0.13,0.65,22.8,10.2,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,13.78,11.66,0.1,0.69,-2.28,41.3,0.54,0.51,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,278.0,2.118,0.17,9.4,Normal,Low,Medium
Argentina,ARG,1992,6,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.24,0.7,0.09,0.68,26.0,15.0,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,11.61,11.47,0.06,0.16,,-27.4,-0.31,-0.24,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,288.0,2.118,0.17,10.4,Normal,Low,Medium
Argentina,ARG,1992,7,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.25,0.62,0.12,0.62,30.8,20.3,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,9.44,12.74,0.13,0.4,-2.28,43.1,0.12,0.33,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,273.0,2.118,0.17,10.0,Normal,Low,Medium
Argentina,ARG,1992,8,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.28,0.69,0.13,0.5,29.3,14.0,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,,12.39,0.07,0.77,-2.28,77.4,0.79,1.19,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,272.0,2.118,0.17,17.7,Normal,Low,Medium
Argentina,ARG,1992,9,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.31,0.65,0.15,0.92,23.2,10.3,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,7.28,12.42,0.13,0.48,-2.28,-78.3,-1.75,-1.13,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,268.0,2.118,0.17,21.0,Normal,Low,Medium
Argentina,ARG,1992,10,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.22,0.56,0.05,0.62,14.0,-0.2,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,7.86,13.13,0.05,0.08,-2.28,31.7,0.49,0.19,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,273.0,2.118,0.17,8.7,Normal,Low,Medium
Argentina,ARG,1992,11,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.32,0.66,0.27,0.62,4.4,-9.6,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,9.44,12.47,0.26,1.15,-2.28,46.3,0.95,0.19,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,265.0,2.118,0.17,11.8,Normal,Low,Medium
